総合NO,弾NO,販売日,呼称,略称,コレクションナンバー,大分類,小分類,カード名,レアリティ,A,B
2582,161,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,071/067,ポケモン,闘,チャーレムV,SR,,
2583,162,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,072/067,ポケモン,闘,チャーレムV,SR,,
2584,163,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,073/067,ポケモン,竜,カイリューV,SR,,
2585,164,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,074/067,ポケモン,竜,カイリューV,SR,,
2586,165,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,075/067,ポケモン,竜,レックウザV,SR,,
2587,166,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,076/067,ポケモン,竜,レックウザV,SR,,
2588,167,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,077/067,トレーナーズ,サポート,サナ,SR,,
2589,168,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,078/067,トレーナーズ,サポート,スクールボーイ,SR,,
2590,169,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,079/067,トレーナーズ,サポート,ヒガナの決意,SR,,
2591,170,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,080/067,ポケモン,草,オーロットVMAX,HR,,
2592,171,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,081/067,ポケモン,水,ギャラドスVMAX,HR,,
2593,172,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,082/067,ポケモン,竜,レックウザVMAX,HR,,
2594,173,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,083/067,ポケモン,竜,レックウザVMAX,HR,,
2595,174,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,084/067,トレーナーズ,サポート,サナ,HR,,
2596,175,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,085/067,トレーナーズ,サポート,スクールボーイ,HR,,
2597,176,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,086/067,トレーナーズ,サポート,ヒガナの決意,HR,,
2598,177,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,087/067,ポケモン,水,ユキメノコ,UR,,
2599,178,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,088/067,トレーナーズ,グッズ,トイキャッチャー,UR,,
2600,179,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,089/067,トレーナーズ,スタジアム,嵐の山脈,UR,,
2601,180,2021年07月09日,ソード&シールド 拡張パック 蒼空ストリーム,S7R,090/067,エネルギー,雷,基本雷エネルギー,UR,,
2602,1,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,001/053,ポケモン,草,ボクレー（エースバーン）,,,
2603,2,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,002/053,ポケモン,草,オーロット（エースバーン）,,,
2604,3,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,003/053,ポケモン,草,ヒメンカ（エースバーン）,,,
2605,4,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,004/053,ポケモン,草,ワタシラガ（エースバーン）,,,
2606,5,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,005/053,ポケモン,草,タルップルV（ノーマル仕様）（エースバーン）,ノーマル仕様,,
2607,6,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,005/053,ポケモン,草,タルップルV（RR仕様）（エースバーン）,RR仕様,,
2608,7,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,006/053,ポケモン,草,ザルード（15）（エースバーン）,,,
2609,8,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,007/053,ポケモン,炎,ロコン（エースバーン）,,,
2610,9,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,008/053,ポケモン,炎,キュウコン（エースバーン）,,,
2611,10,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,009/053,ポケモン,炎,ビクティニ（エースバーン）,,,
2612,11,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,010/053,ポケモン,炎,エースバーンV（ノーマル仕様）（エースバーン）,ノーマル仕様,,
2613,12,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,010/053,ポケモン,炎,エースバーンV（RR仕様）（エースバーン）,RR仕様,,
2614,13,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,011/053,ポケモン,炎,ヤクデ（エースバーン）,,,
2615,14,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,011/053,ポケモン,炎,ヤクデ（1）（エースバーン）,,,
2616,15,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,012/053,ポケモン,炎,マルヤクデ（エースバーン）,,,
2617,16,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,012/053,ポケモン,炎,マルヤクデ（17）（エースバーン）,,,
2618,17,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,037/053,ポケモン,無,イーブイ（エースバーン）,,,
2619,18,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,040/053,トレーナーズ,グッズ,きずぐすり（エースバーン）,,,
2620,19,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,040/053,トレーナーズ,グッズ,きずぐすり（16）（エースバーン）,,,
2621,20,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,042/053,トレーナーズ,グッズ,スーパーボール（エースバーン）,,,
2622,21,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,043/053,トレーナーズ,グッズ,ポケモンいれかえ（エースバーン）,,,
2623,22,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,044/053,トレーナーズ,グッズ,ポケモンキャッチャー（エースバーン）,,,
2624,23,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,045/053,トレーナーズ,グッズ,レベルボール（エースバーン）,,,
2625,24,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,046/053,トレーナーズ,サポート,コック（エースバーン）,,,
2626,25,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,047/053,トレーナーズ,サポート,サナ（エースバーン）,,,
2627,26,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,048/053,トレーナーズ,サポート,ジャッジマン（エースバーン）,,,
2628,27,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,050/053,トレーナーズ,サポート,博士の研究 マグノリア博士（エースバーン）,,,
2629,28,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,052/053,トレーナーズ,サポート,ホップ（エースバーン）,,,
2630,29,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,053/053,トレーナーズ,サポート,むしとりしょうねん（エースバーン）,,,
2631,30,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,FIR,エネルギー,炎,基本炎エネルギー（エースバーン）,,,
2632,31,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,FIR,エネルギー,炎,基本炎エネルギー（2）（エースバーン）,,,
2633,32,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,FIR,エネルギー,炎,基本炎エネルギー（3）（エースバーン）,,,
2634,33,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,FIR,エネルギー,炎,基本炎エネルギー（4）（エースバーン）,,,
2635,34,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,FIR,エネルギー,炎,基本炎エネルギー（8）（エースバーン）,,,
2636,35,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,FIR,エネルギー,炎,基本炎エネルギー（9）（エースバーン）,,,
2637,36,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,FIR,エネルギー,炎,基本炎エネルギー（10）（エースバーン）,,,
2638,37,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,FIR,エネルギー,炎,基本炎エネルギー（14）（エースバーン）,,,
2639,38,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,GRA,エネルギー,草,基本草エネルギー（エースバーン）,,,
2640,39,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,GRA,エネルギー,草,基本草エネルギー（5）（エースバーン）,,,
2641,40,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,GRA,エネルギー,草,基本草エネルギー（6）（エースバーン）,,,
2642,41,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,GRA,エネルギー,草,基本草エネルギー（7）（エースバーン）,,,
2643,42,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,GRA,エネルギー,草,基本草エネルギー（11）（エースバーン）,,,
2644,43,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,GRA,エネルギー,草,基本草エネルギー（12）（エースバーン）,,,
2645,44,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,GRA,エネルギー,草,基本草エネルギー（13）（エースバーン）,,,
2646,45,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,013/053,ポケモン,水,ハリーセン（ピカチュウ）,,,
2647,46,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,014/053,ポケモン,水,ゲッコウガV（ピカチュウ）,ノーマル仕様,,
2648,47,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,014/053,ポケモン,水,ゲッコウガV（ピカチュウ）,RR仕様,,
2649,48,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,015/053,ポケモン,水,カムカメ（ピカチュウ）,,,
2650,49,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,016/053,ポケモン,水,カジリガメ（ピカチュウ）,,,
2651,50,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,017/053,ポケモン,水,サシカマス（ピカチュウ）,,,
2652,51,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,017/053,ポケモン,水,サシカマス（16）（ピカチュウ）,,,
2653,52,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,018/053,ポケモン,水,カマスジョー（ピカチュウ）,,,
2654,53,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,019/053,ポケモン,雷,ピカチュウV（ピカチュウ）,ノーマル仕様,,
2655,54,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,019/053,ポケモン,雷,ピカチュウV（ピカチュウ）,RR仕様,,
2656,55,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,020/053,ポケモン,雷,コリンク（ピカチュウ）,,,
2657,56,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,020/053,ポケモン,雷,コリンク（1）（ピカチュウ）,,,
2658,57,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,021/053,ポケモン,雷,ルクシオ（ピカチュウ）,,,
2659,58,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,022/053,ポケモン,雷,レントラー（ピカチュウ）,,,
2660,59,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,023/053,ポケモン,雷,ゼラオラ（ピカチュウ）,,,
2661,60,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,024/053,ポケモン,雷,モルペコ（ピカチュウ）,,,
2662,61,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,038/053,ポケモン,無,カビゴン（ピカチュウ）,,,
2663,62,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,040/053,トレーナーズ,グッズ,きずぐすり（ピカチュウ）,,,
2664,63,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,042/053,トレーナーズ,グッズ,スーパーボール（ピカチュウ）,,,
2665,64,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,043/053,トレーナーズ,グッズ,ポケモンいれかえ（ピカチュウ）,,,
2666,65,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,044/053,トレーナーズ,グッズ,ポケモンキャッチャー（ピカチュウ）,,,
2667,66,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,045/053,トレーナーズ,グッズ,レベルボール（ピカチュウ）,,,
2668,67,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,047/053,トレーナーズ,サポート,サナ（ピカチュウ）,,,
2669,68,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,048/053,トレーナーズ,サポート,ジャッジマン（ピカチュウ）,,,
2670,69,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,050/053,トレーナーズ,サポート,博士の研究 マグノリア博士（ピカチュウ）,,,
2671,70,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,051/053,トレーナーズ,サポート,ボスの指令 サカキ（ピカチュウ）,,,
2672,71,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,052/053,トレーナーズ,サポート,ホップ（ピカチュウ）,,,
2673,72,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,052/053,トレーナーズ,サポート,ホップ（15）（ピカチュウ）,,,
2674,73,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,053/053,トレーナーズ,サポート,むしとりしょうねん（ピカチュウ）,,,
2675,74,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,LIG,エネルギー,雷,基本雷エネルギー（ピカチュウ）,,,
2676,75,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,LIG,エネルギー,雷,基本雷エネルギー（5）（ピカチュウ）,,,
2677,76,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,LIG,エネルギー,雷,基本雷エネルギー（6）（ピカチュウ）,,,
2678,77,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,LIG,エネルギー,雷,基本雷エネルギー（7）（ピカチュウ）,,,
2679,78,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,LIG,エネルギー,雷,基本雷エネルギー（8）（ピカチュウ）,,,
2680,79,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,LIG,エネルギー,雷,基本雷エネルギー（9）（ピカチュウ）,,,
2681,80,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,LIG,エネルギー,雷,基本雷エネルギー（10）（ピカチュウ）,,,
2682,81,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,LIG,エネルギー,雷,基本雷エネルギー（15）（ピカチュウ）,,,
2683,82,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,WAT,エネルギー,水,基本水エネルギー（ピカチュウ）,,,
2684,83,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,WAT,エネルギー,水,基本水エネルギー（2）（ピカチュウ）,,,
2685,84,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,WAT,エネルギー,水,基本水エネルギー（3）（ピカチュウ）,,,
2686,85,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,WAT,エネルギー,水,基本水エネルギー（4）（ピカチュウ）,,,
2687,86,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,WAT,エネルギー,水,基本水エネルギー（11）（ピカチュウ）,,,
2688,87,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,WAT,エネルギー,水,基本水エネルギー（12）（ピカチュウ）,,,
2689,88,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,WAT,エネルギー,水,基本水エネルギー（13）（ピカチュウ）,,,
2690,89,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,WAT,エネルギー,水,基本水エネルギー（14）（ピカチュウ）,,,
2691,90,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,WAT,エネルギー,水,基本水エネルギー（17）（ピカチュウ）,,,
2692,91,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,WAT,エネルギー,水,基本水エネルギー（19）（ピカチュウ）,,,
2693,92,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,025/053,ポケモン,闘,マンキー（バンギラス）,,,
2694,93,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,026/053,ポケモン,闘,オコリザル（バンギラス）,,,
2695,94,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,027/053,ポケモン,闘,ルカリオV（バンギラス）,RR仕様,,
2696,95,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,028/053,ポケモン,闘,タタッコ（バンギラス）,,,
2697,96,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,029/053,ポケモン,闘,オトスパス（バンギラス）,,,
2698,97,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,030/053,ポケモン,闘,タイレーツ（バンギラス）,,,
2699,98,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,031/053,ポケモン,悪,バンギラスV（バンギラス）,RR仕様,,
2700,99,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,032/053,ポケモン,悪,キバニア（バンギラス）,,,
2701,100,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,033/053,ポケモン,悪,サメハダー（バンギラス）,,,
2702,101,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,034/053,ポケモン,悪,ダークライ（バンギラス）,,,
2703,102,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,035/053,ポケモン,悪,ゾロア（バンギラス）,,,
2704,103,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,036/053,ポケモン,悪,ゾロアーク（バンギラス）,,,
2705,104,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,039/053,ポケモン,無,ウールー（バンギラス）,,,
2706,105,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,041/053,トレーナーズ,グッズ,クラッシュハンマー（バンギラス）,,,
2707,106,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,042/053,トレーナーズ,グッズ,スーパーボール（バンギラス）,,,
2708,107,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,043/053,トレーナーズ,グッズ,ポケモンいれかえ（バンギラス）,,,
2709,108,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,044/053,トレーナーズ,グッズ,ポケモンキャッチャー（バンギラス）,,,
2710,109,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,045/053,トレーナーズ,グッズ,レベルボール（バンギラス）,,,
2711,110,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,047/053,トレーナーズ,サポート,サナ（バンギラス）,,,
2712,111,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,048/053,トレーナーズ,サポート,ジャッジマン（バンギラス）,,,
2713,112,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,049/053,トレーナーズ,サポート,ダンデ（バンギラス）,,,
2714,113,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,050/053,トレーナーズ,サポート,博士の研究 マグノリア博士（バンギラス）,,,
2715,114,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,052/053,トレーナーズ,サポート,ホップ（バンギラス）,,,
2716,115,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,053/053,トレーナーズ,サポート,むしとりしょうねん（バンギラス）,,,
2717,116,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,FIG,エネルギー,闘,基本闘エネルギー（バンギラス）,,,
2718,117,2021年07月09日,ソード&シールド ファミリーポケモンカードゲーム,SH,DAR,エネルギー,悪,基本悪エネルギー（バンギラス）,,,
2719,1,2021年08月20日,スペシャルカードセット ゲッコウガV-UNION,SP5,001/013,ポケモン,水,ゲッコウガV-UNION,,,
2720,2,2021年08月20日,スペシャルカードセット ゲッコウガV-UNION,SP5,002/013,ポケモン,水,ゲッコウガV-UNION,,,
2721,3,2021年08月20日,スペシャルカードセット ゲッコウガV-UNION,SP5,003/013,ポケモン,水,ゲッコウガV-UNION,,,
2722,4,2021年08月20日,スペシャルカードセット ゲッコウガV-UNION,SP5,004/013,ポケモン,水,ゲッコウガV-UNION,,,
2723,5,2021年08月20日,スペシャルカードセット ミュウツーV-UNION,SP5,005/013,ポケモン,超,ミュウツーV-UNION,,,
2724,6,2021年08月20日,スペシャルカードセット ミュウツーV-UNION,SP5,006/013,ポケモン,超,ミュウツーV-UNION,,,
2725,7,2021年08月20日,スペシャルカードセット ミュウツーV-UNION,SP5,007/013,ポケモン,超,ミュウツーV-UNION,,,
2726,8,2021年08月20日,スペシャルカードセット ミュウツーV-UNION,SP5,008/013,ポケモン,超,ミュウツーV-UNION,,,
2727,9,2021年08月20日,スペシャルカードセット ザシアンV-UNION,SP5,009/013,ポケモン,鋼,ザシアンV-UNION,,,
2728,10,2021年08月20日,スペシャルカードセット ザシアンV-UNION,SP5,010/013,ポケモン,鋼,ザシアンV-UNION,,,
2729,11,2021年08月20日,スペシャルカードセット ザシアンV-UNION,SP5,011/013,ポケモン,鋼,ザシアンV-UNION,,,
2730,12,2021年08月20日,スペシャルカードセット ザシアンV-UNION,SP5,012/013,ポケモン,鋼,ザシアンV-UNION,,,
2731,13,2021年08月20日,スペシャルカードセット　共通,SP5,013/013,トレーナーズ,サポート,バーネット博士,,,
2732,1,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,001/100,ポケモン,草,キャタピー,C,,
2733,2,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,002/100,ポケモン,草,トランセル,C,,
2734,3,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,003/100,ポケモン,草,バタフリー,R,,
2735,4,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,004/100,ポケモン,草,キノココ,C,,
2736,5,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,005/100,ポケモン,草,キノガッサ,C,,
2737,6,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,006/100,ポケモン,草,マラカッチ,U,,
2738,7,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,007/100,ポケモン,草,チョボマキ,C,,
2739,8,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,008/100,ポケモン,草,アギルダー,U,,
2740,9,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,009/100,ポケモン,草,ビリジオン,U,,
2741,10,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,010/100,ポケモン,草,アゴジムシ,C,,
2742,11,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,012/100,ポケモン,炎,ガーディ,C,,
2743,12,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,013/100,ポケモン,炎,ウインディ,U,,
2744,13,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,016/100,ポケモン,炎,クイタラン,C,,
2745,14,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,017/100,ポケモン,炎,オドリドリ,U,,
2746,15,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,018/100,ポケモン,水,ヒトデマン,C,,
2747,16,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,019/100,ポケモン,水,スターミー,R,,
2748,17,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,020/100,ポケモン,水,ワニノコ,C,,
2749,18,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,021/100,ポケモン,水,アリゲイツ,U,,
2750,19,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,022/100,ポケモン,水,オーダイル,R,,
2751,20,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,023/100,ポケモン,水,パールル,C,,
2752,21,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,024/100,ポケモン,水,ハンテール,U,,
2753,22,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,025/100,ポケモン,水,サクラビス,U,,
2754,23,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,027/100,ポケモン,水,ナマコブシ,C,,
2755,24,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,028/100,ポケモン,水,ユキハミ,C,,
2756,25,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,029/100,ポケモン,水,モスノウ,U,,
2757,26,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,030/100,ポケモン,雷,エリキテル,C,,
2758,27,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,031/100,ポケモン,雷,エレザード,C,,
2759,28,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,032/100,ポケモン,雷,デンヂムシ,C,,
2760,29,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,033/100,ポケモン,雷,クワガノン,U,,
2761,30,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,036/100,ポケモン,雷,エレズン,C,,
2762,31,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,037/100,ポケモン,雷,ストリンダー,R,,
2763,32,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,038/100,ポケモン,超,ルージュラ,C,,
2764,33,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,041/100,ポケモン,超,ブルー,C,,
2765,34,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,042/100,ポケモン,超,グランブル,U,,
2766,35,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,043/100,ポケモン,超,ガラルサニーゴ,C,,
2767,36,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,044/100,ポケモン,超,ガラルサニゴーン,U,,
2768,37,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,045/100,ポケモン,超,デオキシス,R,,
2769,38,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,046/100,ポケモン,超,ムンナ,C,,
2770,39,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,047/100,ポケモン,超,ムシャーナ,C,,
2771,40,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,048/100,ポケモン,超,メロエッタ,U,,
2772,41,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,049/100,ポケモン,超,ドラメシヤ,C,,
2773,42,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,050/100,ポケモン,超,ドロンチ,U,,
2774,43,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,051/100,ポケモン,超,ドラパルト,R,,
2775,44,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,052/100,ポケモン,闘,イシツブテ,C,,
2776,45,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,053/100,ポケモン,闘,ゴローン,C,,
2777,46,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,054/100,ポケモン,闘,ゴローニャ,U,,
2778,47,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,055/100,ポケモン,闘,イワーク,C,,
2779,48,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,056/100,ポケモン,闘,ハガネール,R,,
2780,49,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,057/100,ポケモン,闘,モグリュー,C,,
2781,50,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,058/100,ポケモン,闘,タイレーツ,U,,
2782,51,2021年09月24日,ソード&シールド 拡張パック フュージョンアーツ,S8,059/100,ポケモン,悪,ガラルジグザグマ,C,,
